GenderSelect,Country,Age,EmploymentStatus,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,CompensationAmount,CompensationCurrency,
Male,Netherlands,30,Employed full-time,Predictive Modeler,R,Bachelor's degree,Mathematics or statistics,36000.00,EUR,
Male,Spain,40,Employed full-time,Software Developer/Software Engineer,Scala,Bachelor's degree,"Information technology, networking, or system administration",38000.00,EUR,
Female,Ireland,34,Employed full-time,Other,R,Bachelor's degree,Computer Science,39000.00,EUR,
Male,Finland,27,Employed full-time,Data Analyst,R,Bachelor's degree,Other,39600.00,EUR,
Female,France,24,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,40000.00,EUR,
Male,Germany,25,Employed full-time,Data Scientist,Python,Bachelor's degree,Other,40000.00,EUR,
Male,Ireland,31,Employed full-time,Other,Python,Bachelor's degree,Computer Science,40000.00,EUR,
Female,Ireland,40,Employed full-time,Data Scientist,Python,Bachelor's degree,A social science,40000.00,EUR,
Male,Italy,42,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Physics,40000.00,EUR,
Female,Spain,44,Employed full-time,Data Scientist,SQL,Bachelor's degree,Mathematics or statistics,40000.00,EUR,
Male,Netherlands,73,Employed full-time,Software Developer/Software Engineer,Scala,Bachelor's degree,Electrical Engineering,40000.00,EUR,
Male,Germany,25,Employed full-time,Other,Python,Bachelor's degree,Management information systems,42000.00,EUR,
Male,Belarus,27,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",43000.00,EUR,
Male,Germany,26,Employed full-time,Computer Scientist,Python,Bachelor's degree,Computer Science,44000.00,EUR,
Male,France,26,Employed full-time,Data Scientist,R,Bachelor's degree,Mathematics or statistics,45000.00,EUR,
Male,Ireland,31,Employed full-time,DBA/Database Engineer,R,Bachelor's degree,Engineering (non-computer focused),45000.00,EUR,
Male,Germany,57,Employed full-time,Data Scientist,Python,Bachelor's degree,Computer Science,45000.00,EUR,
Male,Netherlands,21,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,50000.00,EUR,
Male,Germany,24,Employed full-time,Software Developer/Software Engineer,SQL,Bachelor's degree,Computer Science,50000.00,EUR,
Male,Germany,27,Employed full-time,Data Scientist,R,Bachelor's degree,Electrical Engineering,53000.00,EUR,
Male,Germany,29,Employed full-time,Predictive Modeler,Python,Bachelor's degree,Other,55000.00,EUR,
Male,Germany,41,Employed full-time,Other,Python,Bachelor's degree,Computer Science,55000.00,EUR,
Male,Netherlands,52,Employed full-time,Data Analyst,R,Bachelor's degree,Biology,55000.00,EUR,
Male,France,31,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,60000.00,EUR,
Male,Portugal,37,"Independent contractor, freelancer, or self-employed",Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,60000.00,EUR,
Female,Germany,29,Employed full-time,Business Analyst,SQL,Bachelor's degree,Other,65000.00,EUR,
Male,Ireland,30,Employed full-time,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,65000.00,EUR,
Male,Netherlands,52,Employed full-time,Other,R,Bachelor's degree,Other,65000.00,EUR,
Male,Germany,41,Employed full-time,Other,Python,Bachelor's degree,Other,68000.00,EUR,
Male,Germany,41,Employed full-time,Data Miner,R,Bachelor's degree,Management information systems,78000.00,EUR,
Male,Germany,34,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,84000.00,EUR,
Male,Germany,48,Employed full-time,Data Scientist,Python,Bachelor's degree,Computer Science,93000.00,EUR,
Male,Spain,47,"Independent contractor, freelancer, or self-employed",Data Scientist,Python,Bachelor's degree,Mathematics or statistics,100000.00,EUR,
Male,Netherlands,66,"Independent contractor, freelancer, or self-employed",Engineer,Python,Bachelor's degree,Engineering (non-computer focused),100000.00,EUR,
Male,Ireland,30,Employed full-time,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,150000.00,EUR,
Male,United Kingdom,23,Employed full-time,Other,R,Bachelor's degree,Biology,25000.00,GBP,
Male,United Kingdom,36,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,27000.00,GBP,
Male,United Kingdom,27,Employed full-time,Data Analyst,Python,Bachelor's degree,Other,30000.00,GBP,
Male,United Kingdom,27,Employed full-time,Business Analyst,SQL,Bachelor's degree,A humanities discipline,30000.00,GBP,
Male,United Kingdom,25,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,32650.00,GBP,
Male,United Kingdom,21,Employed full-time,Business Analyst,Python,Bachelor's degree,Computer Science,33000.00,GBP,
Male,United Kingdom,26,Employed full-time,Business Analyst,Python,Bachelor's degree,Mathematics or statistics,36000.00,GBP,
Male,United Kingdom,37,Employed full-time,Data Scientist,R,Bachelor's degree,Computer Science,37700.00,GBP,
Female,United Kingdom,33,Employed full-time,Data Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",40000.00,GBP,
Male,United Kingdom,37,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,40000.00,GBP,
Male,United Kingdom,26,Employed full-time,DBA/Database Engineer,SQL,Bachelor's degree,Computer Science,42000.00,GBP,
Male,United Kingdom,55,Employed full-time,Data Scientist,R,Bachelor's degree,Other,42000.00,GBP,
Male,United Kingdom,42,"Independent contractor, freelancer, or self-employed",DBA/Database Engineer,SQL,Bachelor's degree,A humanities discipline,42000.00,GBP,
Male,United Kingdom,29,Employed full-time,Data Scientist,R,Bachelor's degree,Physics,44000.00,GBP,
Female,United Kingdom,25,Employed full-time,Other,Python,Bachelor's degree,Computer Science,45000.00,GBP,
Male,United Kingdom,30,Employed full-time,Data Analyst,SQL,Bachelor's degree,A social science,45000.00,GBP,
Male,United Kingdom,33,"Independent contractor, freelancer, or self-employed",Data Scientist,Python,Bachelor's degree,Other,45000.00,GBP,
Male,United Kingdom,39,Employed full-time,Business Analyst,Python,Bachelor's degree,"Information technology, networking, or system administration",47000.00,GBP,
Male,United Kingdom,31,Employed full-time,Data Scientist,R,Bachelor's degree,A humanities discipline,48000.00,GBP,
Male,United Kingdom,35,Employed full-time,Software Developer/Software Engineer,SQL,Bachelor's degree,Electrical Engineering,50000.00,GBP,
Male,United Kingdom,44,"Independent contractor, freelancer, or self-employed",Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",50000.00,GBP,
Male,United Kingdom,41,Employed full-time,Other,R,Bachelor's degree,Psychology,55000.00,GBP,
Male,United Kingdom,60,Employed full-time,Other,Python,Bachelor's degree,A humanities discipline,55000.00,GBP,
Male,United Kingdom,38,Employed full-time,Data Analyst,R,Bachelor's degree,Mathematics or statistics,58600.00,GBP,
Male,United Kingdom,29,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Other,60000.00,GBP,
Male,United Kingdom,27,Employed full-time,Data Analyst,Python,Bachelor's degree,Mathematics or statistics,63000.00,GBP,
Male,United Kingdom,36,Employed full-time,Data Scientist,Python,Bachelor's degree,A social science,75000.00,GBP,
Male,United Kingdom,33,Employed full-time,Data Scientist,Python,Bachelor's degree,Physics,77000.00,GBP,
Male,United Kingdom,36,Employed full-time,Researcher,Python,Bachelor's degree,A social science,80000.00,GBP,
Male,United Kingdom,37,Employed full-time,Software Developer/Software Engineer,Python,Bachelor's degree,Management information systems,80000.00,GBP,
Male,United Kingdom,38,Employed full-time,Business Analyst,Python,Bachelor's degree,Computer Science,80000.00,GBP,
Male,United Kingdom,46,"Independent contractor, freelancer, or self-employed",Software Developer/Software Engineer,Java,Bachelor's degree,Psychology,80000.00,GBP,
Male,United Kingdom,41,Employed full-time,Programmer,Python,Bachelor's degree,Computer Science,105000.00,GBP,
Male,United Kingdom,28,Employed full-time,Engineer,Python,Bachelor's degree,A social science,110000.00,GBP,
Female,United Kingdom,31,"Independent contractor, freelancer, or self-employed",Data Analyst,Python,Bachelor's degree,Mathematics or statistics,110000.00,GBP,
Female,Hong Kong,26,Employed full-time,Researcher,Matlab,Bachelor's degree,Electrical Engineering,19000.00,HKD,
Male,Hong Kong,33,Employed full-time,Business Analyst,R,Bachelor's degree,A social science,28000.00,HKD,
